"No.","Time","Source","Destination","Protocol","Length","Info"
"108","8.992943000","192.168.100.72","192.168.100.70","HTTP","185","GET /33 HTTP/1.1 "
"136","9.298871000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"142","9.309762000","192.168.100.72","192.168.100.70","HTTP","185","GET /42 HTTP/1.1 "
"159","9.425519000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"165","9.438645000","192.168.100.72","192.168.100.70","HTTP","185","GET /68 HTTP/1.1 "
"183","9.610727000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"189","9.621990000","192.168.100.72","192.168.100.70","HTTP","185","GET /28 HTTP/1.1 "
"208","9.728492000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"214","9.739443000","192.168.100.72","192.168.100.70","HTTP","185","GET /74 HTTP/1.1 "
"231","9.913248000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"240","9.926102000","192.168.100.72","192.168.100.70","HTTP","185","GET /88 HTTP/1.1 "
"241","9.926277000","192.168.100.72","192.168.100.70","HTTP","185","GET /82 HTTP/1.1 "
"261","10.220430000","192.168.100.70","192.168.100.72","HTTP","499","HTTP/1.1 200 OK  (text/html)"
"281","10.334968000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"290","10.345410000","192.168.100.72","192.168.100.70","HTTP","185","GET /14 HTTP/1.1 "
"291","10.345583000","192.168.100.72","192.168.100.70","HTTP","184","GET /1 HTTP/1.1 "
"311","10.532369000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"332","10.736651000","192.168.100.70","192.168.100.72","HTTP","498","HTTP/1.1 200 OK  (text/html)"
"339","10.748483000","192.168.100.72","192.168.100.70","HTTP","185","GET /75 HTTP/1.1 "
"344","10.757159000","192.168.100.72","192.168.100.70","HTTP","185","GET /29 HTTP/1.1 "
"362","10.847535000","192.168.100.70","192.168.100.72","HTTP","583","HTTP/1.1 200 OK  (text/html)"
"382","10.958781000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"391","10.969793000","192.168.100.72","192.168.100.70","HTTP","185","GET /90 HTTP/1.1 "
"394","10.973250000","192.168.100.72","192.168.100.70","HTTP","185","GET /47 HTTP/1.1 "
"414","11.141940000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"433","11.269681000","192.168.100.70","192.168.100.72","HTTP","584","HTTP/1.1 200 OK  (text/html)"
"442","11.282624000","192.168.100.72","192.168.100.70","HTTP","184","GET /5 HTTP/1.1 "
"443","11.298989000","192.168.100.72","192.168.100.70","HTTP","185","GET /21 HTTP/1.1 "
"460","11.384023000","192.168.100.70","192.168.100.72","HTTP","582","HTTP/1.1 200 OK  (text/html)"
